title,display_level,md5,sha256,beta_easy,beta_hard,alpha,has_data
コスモワンダラー (･∀･),st3,90a9c85f1fd28de0be536ad3bcc2e913,108b9e3da9883709e0b38da12794a0698c218643fd1d63256ad9b9b93e2d3d55,0.247,1.027,3.966,True
DUO WING [Control Pulse],st4,90ca888098c2a6f0a3793acdf03719d6,0723f02e74f3291e9ee8d1452603c2e6ffbd494e72060f1f4b0167483a9b0125,0.098,1.513,2.482,True
That's the style!! [Super Hexagon],st6,90d312100a8ef6ac66f507de5d1104c2,56af353a5f0de456f3839771e5e5ad30c00057b54d93e888aa550274811a5dc5,1.160,1.877,3.722,True
FELYS -Genocide-,st0,90eedb47ffdd6bccee421f527ecea7ff,563f7c5b9ea1963f6b7d618a5fe39a6b8ae090d88a111b96773ebfc328610723,-0.582,-0.099,5.532,True
DEATH†TENGOQ ～怒りの天地合体野郎～,st6,910be2094aba67f971f740bd0ad50806,6df707493dc51f2e0d405dc2761cc44a6757319d5faeb58cedf07af1b8879760,1.339,2.179,3.887,True
axs (-------),st4,914069fc421d1309c640148d7012a5cc,cf035aaef2797632c31515bd1e606ab67d1a2781ccde17fcb3820e578127354a,0.505,1.698,3.497,True
ナツイノ [ガチオシ],st5,915ea0341a6a33bcc399356000359308,07baedd6d15a3e9b64b7abca5c19a878fe1190babe881354bb50208a7ee6c5a4,0.540,1.444,1.983,True
marchendreams.（BMS edit） [7key Insanity+],st8,916591f298a0a5479ded9a475d0a519b,b84a875260a4ebc23ce426930a714b9518de0e44b3166312eb399946874c52ea,1.044,4.976,0.886,True
#B2FFFF [SP Celeste Colored Strawberry],st0,9188a4c9876386173ba35158edf23a15,da6e707a6a87ee7732f7d9b399b429904b4935c29e6e6c3c6defc75971969494,-0.762,-0.186,4.605,True
First Creation -Restart-,st0,91a3e765da4f1a52d2b53a5f3410cb90,b4c769b7b2f90968cf6e36a9d086bc9d3aa1a75af41e7f3fa5f55b653e94cd6a,-0.325,0.032,4.757,True
B e l i - R - G O D,st2,91b0a169e6cde78b058fda8a404240a0,afa8331c98cad7b387997c8d87e1ad5969055495b2afb054d18847b79ef551d9,-0.255,0.534,3.469,True
Ophelia [FOR 9DAN+],st7,91b4086a8225de084c00a113de3b6e83,08a1c39baf728c4e9fbe2dfeea6cda5820dfc4e60ccf2defc428c01521e92215,1.609,2.915,2.344,True
サクライロフワリ (puncture),st1,91c4fcca7fd8f1373524c4f64944a31e,ffbf14c1388345d96ef49c19c36eed3abd1d06629b39deec0f51cd3602175148,-0.832,0.167,3.385,True
Kalte [Heimweh],st6,91c72bd5a5df77367c66e3cf98c6e941,a36a8a05c95f9fa951455899d543f7d8093984ea0ec3f3baa97621a2fec5da0e,1.059,2.505,1.586,True
Rate Cranky Hi-roller -Xe-,st1,920083576ddc0f6cbd747ce6c9a86b79,6a41aad92bd17935c0f30c6bc263050705e943ed819dc88704339474b58f8d42,-0.540,0.352,6.544,True
星月トラジコメディー [GALAXY],st3,923fde6c150712f6c9b5b0065116f25b,29fa0a68de505ca95e39981c03d31569116c894ef3930be462e39d4c8d425abf,0.081,1.006,3.872,True
Strawberry Mint Chocolate -LAST BOSS-,st7,92b9c50a06201dd9820a71f93c31c616,db1dc6c7039ea1e726c34e248b58a76afb324281a1f452d5969b0beb43aa0771,1.567,3.135,2.160,True
Don't Make Me One -To The Future-,st1,92c17bd0a162737306cbc32db07ed985,8aa20df44ca1f64734104ed837b887b7268d43e642533d56196f2d1490a1d42c,-0.579,0.018,3.700,True
scualee [DELTA],st8,9346880ee7c843634894575e4385edce,a972e41f84777e6b084316beeb76307d6c5e64000b665afc68cbb96356c8cbc8,2.018,3.647,2.413,True
INFERNAL REGION [Immortal],st9,935a451daf2f26e041f492adf658db8c,93f6f7ba295d08b1e95f335a0e2816e034c937a56ae84bfe03fd5ccf89d8787f,1.942,4.261,3.140,True
年中夢中な好奇心 [INFERNO],st3,938525af08c02dd23efd56f59f906ea7,90ef6d2d127adfbd9e7176cc732663dd45b9427a78629a7398631dced6dbba65,-0.047,1.446,3.262,True
アシンメトリ救世主 [Messiah],st1,93937361aa4b87b6aa31272511211f5f,f102ee82ce5ca783d7d615f513e123d8a791215fc24d6f3354c476a295978100,-0.485,0.147,4.450,True
Happy Dreams [Pentagon],st2,93be82ee6df8a74e2c111c975270f65e,81c3a23697ef130c2aaba093acbf8763e127d260654ce9638b653c5cdb079e0c,-0.169,0.346,4.676,True
あなた [Delay32],st2,93fb7f336d87d279a4156deaaa628148,3a33c03140a41b8f22046a7f7e61d99549c1e757ea5a71528f225a85e88f5177,-0.071,0.989,2.796,True
ディゾルブ [ウゾウムゾウ],st7,94193c71e931032508f88d824a22bfc3,10e860e140bf78abdbb41c616b906a7ecc15c5b80761fc78ecebabdeca3c8b00,1.506,2.288,4.892,True
Prog-M -PoLYgLoT-,st9,941dd04846cbeb1c92c7ad7cd272819e,eb249c60a3c294acd39a9195406abb48e523f9a478c15088491de766a5e25fd3,2.495,4.532,4.161,True
DUARRIER [Twin Stream - Lite],st0,9434a3e4f60feac5aa2dec955743861c,fd1f765cd58d11934da0d0205d5d8a4255d92c420a8560665268e90c36ecc048,-0.758,-0.062,4.513,True
STAR STREAM [Hexagon],st3,944c170fc6c7cd3f0de9a7868aead69c,c4fbf529cd273e6301d089ae198357b68a612764e5e66579c9868c856156aa2d,-0.190,0.586,3.440,True
CrucifiXus [THE JUDGEMENT DAY],st7,945186e72918774b15cff9a38fe7d8ec,e2a2e1b39090f3d49e1f550e79c040f5226ace3af46cb9e0f523be7b741880d8,1.665,4.264,1.779,True
Crazy Watermelon [Pentagon],st1,949989af49f5de175895edc0e81f832c,420d6424aaad3dc4228e1ac338e59867c4457330f3dba75b4ab284d126d4119f,-0.573,0.285,4.563,True
Airflow [Marathon],st6,94b7577cbb11b9205653b694ff8012e9,554721eba1c643427207220f3b3a1795fc098e04a7d9762d2ded9f0de63394ff,1.654,2.063,3.550,True
the scenario -Xe-,st2,94d7e2656e59e8bcc04914dc8739c349,fae4312e09124086fb9822d3d3733622b09973b2c83a82ffd3238efe6cf8d6e8,-0.565,0.147,3.150,True
Valentine Memory [Hexagon],st4,94dd053331872ee0fcb858d86cefee74,e97c8de6701d4df136399075eb84d00ba1a5aa7c1f4d2c5ffcf375341af55e90,0.849,1.737,3.522,True
Endless Dream -Reminiscence-,st3,9537a84edc60f14997d57061e16107e5,517def169484ebc01e72812029f0478b9eecedc955e8bf29d0f6074d29fbe9cf,0.230,1.029,4.039,True
GEHENNA [TU9MT0NI],st5,956fb9ecbe430100dc16cf50d7decd7a,60e3725c88e93d4b783e719fa222f70ed197289f3a916f6e5365f58485a3fe13,1.307,1.962,3.482,True
Pesante Killer [DEATH],st1,95897a9199b2ff1b3df04b098ad20a72,eafe8edece05aba427de3e0fff8df89e687f240154af25a50f6020fdf0462e89,-0.401,0.703,2.965,True
Tavatar Of Darkness -fw. MC TUMMER- [Nemesis_fix],st1,95988e5b22902c760c63ab937084bd62,a8ab6f9ce180e4688671b5fb02fbbb029ffffa7cfde59daa0d585d8e243cb195,-0.320,0.495,4.241,True
emergency call: Xeno,st8,95ca283a21ebfc5eec714aa6cebe056d,f391568a8db424acd79f5b1d5537bd08cf6412c34e01fafc60b697f467e6f7d1,2.091,4.759,2.144,True
情熱の大阪,st0,961618e954a9d2e870af548fce62c55f,376f016eddf6d08c7205e170be3841b56f49a020740cc0c34996b0d207845f2d,-0.916,-0.511,3.373,True
リクロスフェイト [Nuclear],st1,965d42e6aa003f95958cd7bcf3a59bec,6fb4ce941cd953e1ea40871e992ca06cdf99f4fc8e7151f462925c9035fc4b32,-0.678,0.008,4.618,True
AVALON -Genocide-,st3,969ce9512086a7f7baa68f45c9ad395f,894c2192954c83b63ed59d773d87a8aec3974d06cd2924864bbb1f77a4d0ffea,0.412,1.255,3.606,True
MESMERA [SP ANOTHER],st5,96a5b7861d91d03cb82495abef5b8c8b,ff7e32affb7e20c539003b3aedb91c655c5e3daa11c4e34bf3b83d852dfcf1e0,0.804,1.827,2.768,True
リクロスフェイト [TORMENT],st9,96a91ebad9a86aeef831a78168082e36,a72e3027c17eef39385fa298f5cee207aa431df411d7f40b271fd4b55238cbb8,1.483,4.896,1.983,True
Unshakable -Zen-,st2,96c017e393898a99000ecbd2c3ae80ac,1f86806a3d86aa49aeea8c1bbec62ede552780a6deec45a43c8380f761cd15da,-0.185,0.411,2.624,True
ダークサンバランド [Medium Boss],st0,9761f807b9595a80ced1c028d96566af,4aab97c49f8e31087dabc78d237cb4037a7da2eb8dea2b39f35b7b9380e5999f,-0.982,-0.093,4.205,True
Jack-the-Ripper◆ [EXTRA],st5,978a58bdb9b66ba8264d68d517b475dc,61b7ddec746bc4e405d3a330d9babc3f75c7c2e60c28049beea38d7f4a8c823e,1.044,1.733,2.053,True
Bird Sprite -D.K.R. mix- (24maniaq),st3,9790a18e11e0a63b1fd35cdd52d2f310,3c662af622871551100c0c9114d04cd328e2f4f3f9569d3cacd6f1d7b7605c13,0.422,0.960,3.970,True
Hard Spice [Maryther],st2,97b5e9ba5d721ef74a2c60baa4a318af,73a44eb674b9c2297deb0d9021aba6f4bda7e4dec1c932e73262a7841072b567,-0.235,0.795,3.277,True
幽林 [森],st5,97d9e1983109da4547fd166baba074fd,1ee2c494f68ad59d1c19d7ffb9b9cee716a72a162f5532966d4609aeb85eccaa,0.645,1.580,5.459,True
窒素 [SHRINKFLATION],st1,981424b034bacc6e41c85007f2d390c7,78e7901c29d5f4ecafccdd7739cd2541985146df0f2655bdcc8b500280085074,-0.080,0.439,3.451,True
"SAVE The World -starlight,more Colors- [Who has lost his tail?]",st1,98235538f28e0be71bcd18a221a4c5a3,f73f3d1135dfafee71543c8b1cd538035a34bd2f6726d1c0745db1ef79a1f211,-0.497,0.189,4.794,True
