title,display_level,md5,sha256,beta_easy,beta_hard,alpha,has_data
endemize [triumph],st5,02a3f3b4707f863469ac7c67e12e9365,515e7fe7402ac01f06a3a88922c0b7dde6fcc79acef3495ed3041b007ad83d5e,1.821,3.302,2.774,True
Latch (Flip-Flop) [Spinner+],sl1,02af89d2c76d4494b6561ee2c94b15cd,54abc6e91337d65f7eee6969ac169a2fdbfaecfc341efbb387589f4e217d2b34,-1.060,-0.448,3.217,True
RAVE YOUR ROCK,sl0,02c4d238c7ab99ae088bae519d92dc06,000fbcfe0fce450b9bb7fb1fdf727a5d58bbb90c38b86b4761a35b3318c01d23,-2.501,-1.495,2.184,True
L9,sl5,02cc25e2711ba839c5db93d3579b2816,44a4e21c3a685245ef7a9a15820dd7f94d18e7c850b01f60358245920a2de2a6,-0.188,0.241,5.296,True
Destr0yer -Hope-,sl4,02d946340db4001ec78b1e6b9af3a388,3862a984f0a342394d0f62d85fb50a6cc1a327ee60f86017ff6e91c3f0fd34c6,-0.342,0.163,4.229,True
BRILLIANT STAR ～煌星の雫～ [Shooting Star],sl3,02facb6787e7d8e85e9043a323a2d231,b1d85d3b4078623ccd1cc1b34ef339a955dd99fdb1e43768a7db06f3fb127c54,-0.801,-0.155,7.374,True
Angel's Salad [REALISM],st3,02fd0a7beaded078d6c68ae4480c5908,b7e0f2b0772fa491466c597b94d47696dce4a48d41eba39f28a881d6657a0ad5,1.241,1.892,4.597,True
Edge of bravery [Excel Breaker],sl8,03011390e41cd48e9e543f3a5e41442a,4e35794bc0f0bfacb4f05ec2b673138910671599a3456cfe215a07394caad012,0.060,0.573,8.173,True
MIMAKARU [SP ANOTHER],sl2,03180c94e63bfd223a50366bb58051f2,3ed084b9de5772b7040dc15826d6eea2c8389cae533161d9a4a07063fe0dde67,-0.803,-0.219,4.670,True
Jack-the-Ripper◆ [yumether],sl10,0333321c1f9be693f214e6a5f46b9c99,9648c34bf586b5a4743f553c4c26ebcae1c6df2b5e07a222d74aa26256d8445e,0.508,0.868,6.274,True
Romantic Children -Eclipse-,sl11,0343af1da0eefa6455778d765b6e57da,a8d039d17739013f15e70cad80d5eab43a8202583612ac1d4458a4a181f3211a,0.712,1.006,6.953,True
Lapis -The Heavens Remix- [Reminiscence],st2,035eec9c7964ebea27c4163def2453d1,ff923c98d8d7707fab65514c843532fab5ee77db21681a41dfc6dca9b7bb274c,1.117,1.730,3.895,True
赤 [W],sl4,038cf0248a84abb1579cfefd8cdad050,eb6ca8ea482975ff6bcdbae1a4b6619a8cecce14f2049f6ac7ce982fc4b6f980,-0.691,-0.060,4.068,True
